show_id,title,minutes
2121,Les Misérables,158.0
4430,Chup Chup Ke,158.0
7525,Mujhse Shaadi Karogi,158.0
2864,There Will Be Blood,158.0
5221,Singapore,158.0
4861,Aiyaary,158.0
6913,Hamara Dil Aapke Paas Hai,158.0
4722,Fashion,158.0
7804,Punjab 1984,158.0
1114,2012,158.0
2017,Ani... Dr. Kashinath Ghanekar,157.0
8789,You Carry Me,157.0
3517,Oh! Baby,157.0
7190,Khushi,157.0
2493,The Witness Who Didn't See Anything,157.0
4432,Dhan Dhana Dhan Goal,157.0
178,The Guns of Navarone,156.0
4606,Thaandavam,156.0
2394,Da 5 Bloods,156.0
6961,Hera Pheri,156.0
6437,Celluloid Man,156.0
4612,Vettai,156.0
3144,Luck by Chance,156.0
2990,A Sun,156.0
6589,Deewangee,156.0
1867,The Legend of Bhagat Singh,156.0
565,Boogie Nights,155.0
4601,Race,155.0
7338,Lorai: Play to Live,155.0
4572,Jagga Jasoos,155.0
8454,The Physician,155.0
2717,Brothers,155.0
7394,Mandi,155.0
5009,Guru,155.0
2075,Soldier,155.0
4329,Teefa in Trouble,155.0
137,Cold Mountain,154.0
2846,The Death of Mr. Lazarescu,154.0
7114,Jackie Brown,154.0
7803,Pulp Fiction,154.0
3437,GEN HOSHINO STADIUM TOUR “POP VIRUS”,154.0
8129,Superman Returns,154.0
4447,Kalakalappu,154.0
7831,Ramji Londonwaley,154.0
5617,Dilwale,154.0
5448,Aashik Awara,154.0
3150,Zindagi Na Milegi Dobara,154.0
4726,Haider,154.0
5461,Oh Darling Yeh Hai India,154.0
5470,Rangoon,153.0
6667,Eeda,153.0
4294,Springsteen on Broadway,153.0
7945,Satte Pe Satta,153.0
5397,Lal Patthar,153.0
6108,Aitraaz,153.0
5184,Mubarakan,153.0
7333,Lolita,153.0
7078,Inglourious Basterds,153.0
5081,Pyar Ke Do Pal,153.0
6548,Dabbe 6: The Return,153.0
3497,Manmadhudu 2,152.0
5462,Prince,152.0
7924,Sakhi,152.0
8083,Star Wars: Episode VIII: The Last Jedi,152.0
2537,Rencor tatuado,152.0
3433,The Forest of Love,151.0
5483,Kabhi Haan Kabhi Naa,151.0
6554,Daffedar,151.0
4577,Khido Khundi,151.0
6297,Bhagam Bhag,151.0
6695,Encounter: The Killing,151.0
8273,The Departed,151.0
8774,Yanda Kartavya Aahe,151.0
8591,Tikli and Laxmi Bomb,151.0
6400,Cahaya Dari Timur Beta Maluku,151.0
6937,Haseena Maan Jaayegi,151.0
2265,Aiyyaa,151.0
1231,Aelay,151.0
1726,Citation,151.0
5297,Ek Jaan Hain Hum,151.0
5613,Hitler - A Career,150.0
2187,Raat Akeli Hai,150.0
4444,Husbands in Goa,150.0
4507,Meghnadbodh Rohoshyo,150.0
1866,Phir Hera Pheri,150.0
206,Kyo Kii... Main Jhuth Nahin Bolta,150.0
7944,Satrangi Re,150.0
1713,Ludo,150.0
7309,Lincoln,150.0
6734,Fakta Ladh Mhana,150.0
6072,Aadu 2,150.0
4587,Mugamoodi,150.0
4165,Goyo: The Boy General,150.0
4701,Bhavesh Joshi Superhero,150.0
6201,Avengers: Infinity War,150.0
4976,Secret Superstar,150.0
1796,Ajab Prem Ki Ghazab Kahani,150.0
974,One,149.0
7753,Playing for Time,149.0
2478,Living in Bondage: Breaking Free,149.0
7024,Humko Deewana Kar Gaye,149.0
5516,Dear Zindagi,149.0
6224,Balu Mahi,149.0
1625,The Da Vinci Code,149.0
1139,The Pianist,149.0
7248,Kya Kehna,149.0
